Index,StudyName,GoogleDriveFolderName,ModelFilesLink,HydroClimate,ShortDescription,DV_Path,SV_Path,Start_Date,End_Date,Source,Metadata
s0002,9.3.1_danube_adj,9.3.1_danube_adj,9.3.1_danube_adj.zip,2023 DWR Historical Adjusted,"DCR2023 adjusted historical, current ops",s0002_DCR2023_9.3.1_danube_adj\Model_Files\DSS\output\DCR2023_DV_9.3.1_v2a_Danube_Adj_v1.8.dss,s0002_DCR2023_9.3.1_danube_adj\Model_Files\DSS\input\DCR2023_SV_Danube_Adj_v1.8.dss,10/31/1921,9/30/2021,DWR,
s0011,s0011_adjBL_wTUCP,s0011_adjBL_wTUCP,s0011_adjB_wTUCP.zip,2023 DWR Historical Adjusted,"DCR2023 adjusted historical, current ops withTUCP actions are enabled",s0011_adjBL_wTUCP\Model_Files\DSS\output\coeqwal_s0011_adjBL_wTUCP_DV_v0.1.dss,s0011_adjBL_wTUCP\Model_Files\DSS\input\coeqwal_s9999_SV_v0.0.dss,10/31/1921,9/30/2021,,
s0020,s0020_DCRadjBL_2020LU_wTUCP,s0020_DCRadjBL_2020LU_wTUCP,s0020_DCRadjBL_2020LU_wTUCP,2023 DWR Historical Adjusted,Baseline 2023 DCR operations (same as s0011) with updated 2020 ag land use and TUCP actions,s0020_DCRadjBL_2020LU_wTUCP\Model_Files\DSS\output\s0020_DCRadjBL_2020LU_wTUCP_DV_v0.1.dss,s0020_DCRadjBL_2020LU_wTUCP\Model_Files\DSS\input\coeqwal_s9999_SV_v0.1.1.dss,10/31/1921,9/30/2021,,
s0021,s0021_DCRadjBL_2020LU_woTUCP,s0021_DCRadjBL_2020LU_woTUCP,https://drive.google.com/drive/folders/1ZpVTHAI8Od94-rlGEuQ-5et7rT9br6Wb?usp=drive_link,2023 DWR Historical Adjusted,Baseline 2023 DCR operations without TCUP actions and 2020 land use (same as s0020 but without TUCP actions; also same as s0002 but with updated ag land use),s0021_DCRadjBL_2020LU_woTUCP\Model_Files\DSS\output\s0021_DCRadjBL_2020LU_woTUCP_DV_v0.1.dss,s0021_DCRadjBL_2020LU_woTUCP\Model_Files\DSS\input\coeqwal_s9999_SV_v0.1.1.dss,10/31/1921,9/30/2021,,
s0022,s0022_USBR24Alt2V1_adjHist_0413LU_woTUCP,s0022_USBR24Alt2V1_adjHist_0413LU_woTUCP,https://drive.google.com/drive/folders/1nLbhc575rT0A9z1hb7awArH3BaRGihZT?usp=drive_link,2023 DWR Historical Adjusted,Baseline - USBR's 2024 LTO alternative Alt2V1 (adjusted operations for CVP) combined with DWR's adjusted historical hydrology,s0022_USBR24Alt2V1_adjHist_0413LU_woTUCP\Model_Files\DSS\output\s0022_USBR24Alt2V1_adjHist_0413LU_woTUCP_DV_v0.1.dss,s0022_USBR24Alt2V1_adjHist_0413LU_woTUCP\Model_Files\DSS\input\coeqwal_s9999_SV_v0.0.2.dss,10/31/1921,9/30/2021,,
s0023,s0023_USBR24Alt2V1_adjBL_2020LU_woTUCP,s0023_USBR24Alt2V1_adjBL_2020LU_woTUCP,https://drive.google.com/drive/folders/1e3ib_v2IL2BCEFBno8XVMxhTBzIRpw-C?usp=drive_link,2023 DWR Historical Adjusted,Baseline - USBR's 2024 LTO alternative Alt2V1 (adjusted operations for CVP) combined with DWR's adjusted historical hydrology with updated 2020 LandIQ land use; no TUCPs,s0023_USBR24Alt2V1_adjBL_2020LU_woTUCP\Model_Files\DSS\output\s0023_USBR24Alt2V1_adjBL_2020LU_woTUCP_DV_v2_20260217.dss,s0023_USBR24Alt2V1_adjBL_2020LU_woTUCP\Model_Files\DSS\input\coeqwal_s9999_SV_v0.1.1.dss,10/31/1921,9/30/2021,,
s0024,s0024_USBR24Alt2V1_adjHist_2020LU_wTUCP,s0024_USBR24Alt2V1_adjHist_2020LU_wTUCP,https://drive.google.com/drive/folders/1tBSF9Bmf4VvPEEZKxP-Y3Vz3wYDeh-Bv?usp=drive_link,2023 DWR Historical Adjusted,Baseline -Same as s0023 but with TUCPs active (analogous to USBRs Alt2V1 with TUCPs but with DWR's adj historical hydroclimate and updated land use),s0024_USBR24Alt2V1_adjHist_2020LU_wTUCP\Model_Files\DSS\output\s0024_USBR24Alt2V1_adjHist_2020LU_wTUCP_DV_v2_20260217.dss,s0024_USBR24Alt2V1_adjHist_2020LU_wTUCP\Model_Files\DSS\input\coeqwal_s9999_SV_v0.1.2.dss,10/31/1921,9/30/2021,,
s0025,s0025_SJVgwLimit_2020LU_wTUCP_v0.2_20251102,s0025_SJVgwLimit_2020LU_wTUCP_v0.2_20251102,https://drive.google.com/drive/folders/1wkpiKMSlwaAEcMqxv3VC4rGFaMHmLdi_?usp=drive_link,2023 DWR Historical Adjusted,s0020 + groundwater pumping limits applied to SJ Valley region,s0025_SJVgwLimit_2020LU_wTUCP_v0.2_20251102\Model_Files\DSS\output\s0025_SJVgwLimit_2020LU_wTUCP_DV_v0.2.dss,s0025_SJVgwLimit_2020LU_wTUCP_v0.2_20251102\Model_Files\DSS\input\coeqwal_s9999_SV_v0.1.3.dss,10/31/1921,9/30/2021,,
s0026,s0026_SJVgwLimit_SGMALU_wTUCP,s0026_SJVgwLimit_SGMALU_wTUCP,https://drive.google.com/drive/folders/1WsnHVxPTzP3iSzmLxVJFSYS8LC2U6WY1?usp=drive_link,2023 DWR Historical Adjusted,Reductions in ag land use to balance gw conditions in SJV,s0026_SJVgwLimit_SGMALU_wTUCP\Model_Files\DSS\output\s0026_SJVgwLimit_SGMALU_wTUCP_DV_v0.1_20260111.dss,s0026_SJVgwLimit_SGMALU_wTUCP\Model_Files\DSS\input\coeqwal_s9999_SV_v0.1.12.dss,10/31/1921,9/30/2021,,
s0027,s0027_CVgwLimit_2020LU_wTUCP_v0.2_20251102,s0027_CVgwLimit_2020LU_wTUCP_v0.2_20251102,https://drive.google.com/drive/folders/1SbPwiQ765KTW7EUxTYGjfv_6kmfSm_GM?usp=drive_link,2023 DWR Historical Adjusted,s0020 + groundwater pumping limits applied across Central Valley,s0027_CVgwLimit_2020LU_wTUCP_v0.2_20251102\Model_Files\DSS\output\s0027_CVgwLimit_2020LU_wTUCP_DV_v0.2.dss,s0027_CVgwLimit_2020LU_wTUCP_v0.2_20251102\Model_Files\DSS\input\coeqwal_s9999_SV_v0.1.3.dss,10/31/1921,9/30/2021,,
