Outcomes/ Tiers,Description,Tier1,Tier2,Tier3,Tier4
NOD DW,Tiers reflect the degree of NOD Municipal & Industrial demands satisfied by CalSim demand unit or diversion node,"Near full deliveries in most years, no years with large shortfalls (Definition: 90% of target met in ? 90% of years, no year with 70% of target delivered)","Near full deliveries in at least half of years, no years with critical shortfalls (Definition: 90% of target met in 50% of years, no years with 50% of target delivered)","Near full deliveries in at least half of years, no more than 20 years with critical shortfalls (Definition: 90% of target met in 50% of years, no more than 20% of years with < 50% of target delivered)",None of the above criteria met (Either 90% of target met in < 50% of years and/or 20% years with < 50% of target delivered)
SOD DW ,Tiers reflect the degree of SOD Municipal & Industrial demands satisfied by CalSim demand unit or diversion node,"Near full deliveries in most years, no years with large shortfalls (Definition: 90% of target met in 90% of years, no year with 70% of target delivered)","Near full deliveries in at least half of years, no years with critical shortfalls (Definition: 90% of target met in ? 50% of years, no years with ? 50% of target delivered)","Near full deliveries in at least half of years, no more than 20 years with critical shortfalls (Definition: 90% of target met in ? 50% of years, no more than 20% of years with < 50% of target delivered)",None of the above criteria met (Either 90% of target met in < 50% of years and/or 20% years with < 50% of target delivered)
NOD Ag,Tiers correspond to the impact of water shortages on NOD agricultural production,Increased production: Agricultural production increases with respect today's outcomes,Minimal impact: Agricultural production declines less than 5% with respect today's outcomes,Moderate impact: Agricultural production declines 5%-20% with respect to today's outcomes,Severe impact: Agricultural production declines more than 20% with respect to today's outcomes
SOD Ag,Tiers correspond to the impact of water shortages on SOD agricultural production,Increased production: Agricultural production increases with respect today's outcomes,Minimal impact: Agricultural production declines less than 5% with respect today's outcomes,Moderate impact: Agricultural production declines 5%-20% with respect to today's outcomes,Severe impact: Agricultural production declines more than 20% with respect to today's outcomes
NOD Eflows,"Tiers reflect the extent to which NOD modeled flows sustain ecological function relative to natural or functional flow (FF) targets. The framework distinguishes between fully functional ecosystems, partially functional conditions, existing regulatory baselines, and degraded/no-function states.",Functional Ecosystem: Functional flows to sustain native freshwater species in 90% of years; Must have higher mean daily flows (volume/# days) in spring and winter than summer.,<Modified Functional Flows > Partial functional flows in wet season and spring; full functional flows in summer in 75% of years. Must have higher mean daily flows (volume/# days) in spring and winter than summer.,<Existing Flow Requirements> CalSim minimum flow constraints for Baseline Scenario in 50% of years,None of the above thresholds met
SOD Eflows,"Tiers reflect the extent to which SOD modeled flows sustain ecological function relative to natural or functional flow (FF) targets. The framework distinguishes between fully functional ecosystems, partially functional conditions, existing regulatory baselines, and degraded/no-function states.",Functional Ecosystem: Functional flows to sustain native freshwater species in 90% of years; Must have higher mean daily flows (volume/# days) in spring and winter than summer.,<Modified Functional Flows > Partial functional flows in wet season and spring; full functional flows in summer in 75% of years. Must have higher mean daily flows (volume/# days) in spring and winter than summer.,<Existing Flow Requirements> CalSim minimum flow constraints for Baseline Scenario in 50% of years,<No function> none of the above thresholds met
Delta Ecology,"Tiers reflect ecological responses to flow, measured by direct indicators (SAV growth, salinity, turbidity, microhabitat availability). Indicators are assigned a given score based on average winter/spring flows, and scores are scaled accordingly to accommodate threshold effects and additive impacts from multiple years of wet/dry conditions.  ","Scenario scores in the top 25% based on yearly evaluation of ecosystem indicators: low SAV, high turbidity, fresh conditions, expanded microhabitats in most years","Scenario scores in the top 50% based on yearly evaluation of ecosystem indicators: unchanged SAV, high turbidity, fresh conditions, some microhabitats available in most years","Scenario scores in the top 75% based on yearly evaluation of ecosystem indicators: unchanged SAV, standard turbidity, moderate salinity, few microhabitats available in most years","None of the above thresholds met: unchanged SAV, low turbidity, moderate to high salinity, few microhabitats available in most years"
InDelta Salinity,"Tiers reflect the frequency with which water in the western Delta falls into fresh, moderate, or saline categories as an indicator of its suitability for in-Delta uses. Tiers are defined based on the frequency with which two west-Delta salinity stations (Emmaton [EM], Jersey Point [JP]) are below/above three salinity (measured in microSiemens/cm, uS/cm) thresholds: 1) 900 uS/cm - low salinity, 2) 1600 uS/cm - moderate, 3) 2500 uS/cm - high",Maximum of EM and JP is below the low threshold 75% of all months and max of EM and JP is above the highest threshold no more than 5% of all months,"Maximum of EM and JP is below the low threshold at least 65% of all months, below the moderate threshold at least 75% of months, and max of EM and JP is above the highest threshold no more than 12% of all months","Maximum of EM and JP is below the low threshold at least 55% of all months, below the moderate threshold at least 65% of months, and max of EM and JP is above the highest threshold no more than 20% of all months",Maximum of EM and JP is below the low threshold less than 55% of all months and/or max of EM and JP is above the highest threshold more than 20% of all months
Exports and Salinity,"Tier reflects the amount of fresh water exported from the Delta pumps (Banks, Jones) over the 100-year simulation period. For this tier calculation, the volume of water pumped at either pumping location is reduced proportionally by the amount the salinty of that water exceeds 900 uS/cm. Water pumped with salinity greater than 2500 uS/cm is assigned a 0 value. Tiers are defined based on the combined total volume pumped at each pumping location for the 100-year period.",Total combined salinity-penalized export volume pumped at Banks and Jones pumping plants is greater than 505 million acre-feet,Total combined salinity-penalized export volume pumped at Banks and Jones pumping plants is greater than 465 million acre-feet but less than 505 million acre-feet,Total combined salinity-penalized export volume pumped at Banks and Jones pumping plants is greater than 400 million acre-feet but less than 465 million acre-feet,Total combined salinity-penalized export volume pumped at Banks and Jones pumping plants is less than 400 million acre-feet.
NOD Reservoir,"Tier reflects the degree to which NOD reservoirs fill each spring in advance of the summer delivery season (Apr-Oct) during which reservoirs provide water to irrigators and communities. Tiers are designated for select key reservoirs based on how frequently those reservoirs have April 30 (end of month) storage above or below certain thresholds. These thresholds are different for each reservoir and are set here based on percentiles of recent historical data, but may be adjusted in the future. The scheme described here yields tier designations that will be ""1"" if storage conditions are more consistently higher than recent historical conditions; ""2"" if they are roughly equivalent to recent conditions; ""3"" if they are moderately lower than recent conditions; and ""4"" if they are consistently and substantially lower than recent conditions","Reservoir storage is greater than or equal to the top threshold for each reservoir for at least 90% of years (as represented by April values) in the dataset; As of July 2025, this threshold is set at the 50th percentile of recent historical data as available through CDEC","Reservoir storage is greater than or equal to the middle threshold for each reservoir for at least 67% of years (as represented by April values) in the dataset; As of July 2025, this threshold is set at the 33rd percentile of recent historical data as available through CDEC","Reservoir storage is greater than or equal to the middle threshold for each reservoir for at least 30% of years (as represented by April values) in the dataset; As of July 2025, this threshold is set at the 33rd percentile of recent historical data as available through CDEC","Reservoir storage is not high enough to meet the conditions of Tiers 1-3. Reservoir storage is below the middle threshold (at or below the lower threshold) for more than 70% of years (as represented by April values). As of July 2025, the lower threshold is set as the 20th percental of recent historical values"
